Platform,Project stage,Functional scope,Source,Keywords - IT skills required
,,Validations,"https://support.google.com/appsheet/answer/10107949
https://support.google.com/appsheet/answer/10099318","""Boolean expressions"", ""Conditional statements"", +""Lookup/Drop-down data patterns"""
,,Application logic,"https://support.google.com/appsheet/topic/11511235
https://support.google.com/appsheet/answer/10107706
https://support.google.com/appsheet/topic/11496219
https://support.google.com/appsheet/topic/11998887","+""Actions"", ""Functions"", ""Expressions"", ""Events"", +""Predefined process steps"", +""Predefined tasks"", ""Formulas"", ""Variables"", ""Boolean expressions"", ""Conditional expressions"""
,Design and development,,,
,,Workflow desing and development,https://support.google.com/appsheet/topic/11998887,"""Custom Process Model (AppSheet Automation)"", ""REST API"", ""JavaScript"", ""Condition Expressions"""
,,Database design,"https://support.google.com/appsheet/topic/10099793
https://support.google.com/appsheet/answer/10099523
https://support.google.com/appsheet/answer/12065898
https://support.google.com/appsheet/answer/10106509","""Relational Database concept"", +""Reference Column"", +""Lookup Column"", ""Keys"", ""Types"", ""Expressions (App Formula Expression, Initial Value Expression)"", ""Functions (Deep Link)"", +""References"", +""Slices (Subset od data, columns and actions)"", +""Business data types"", ""Conditional Expressions"""
,,Fetching data,"https://support.google.com/appsheet/answer/10104707
https://developers.google.com/apps-script/guides/jdbc
https://support.google.com/appsheet/answer/10106309","""Web API"", +""Cloud-based Spreadsheets"", ""SQL Databases"". ""JDBC"", ""Data source integration"""
,,GUI design and development,"https://support.google.com/appsheet/answer/10106772
https://support.google.com/appsheet/topic/10102631
https://support.google.com/appsheet/answer/10106435","+""View Types"", +""UI Branding"", +""Conditional Formatting"", +""Business Data types"""
,,Data validation development,https://support.google.com/appsheet/topic/10104641,"""Boolean expressions"", ""Conditional statements"", +""Column Expressions"""
,,Actions design and development,https://support.google.com/appsheet/topic/11998887,"+""Automations"", ""Expressions"", ""Functions"", ""Conditional statements"""
,,Programming,"https://developers.google.com/apps-script/overview
https://support.google.com/appsheet/answer/11511244
https://support.google.com/appsheet/answer/11445188
https://support.google.com/appsheet/table/10104782
https://support.google.com/appsheet/answer/10104642","""JavaScript"", ""Web API (AppSheet API)"", ""HTML"", ""JSON"", ""XML"", ""Functions"", ""Boolean statements"", ""Conditional Statements"", ""Expressions"""
,Implementation,,,
,,Runtime server installation,https://support.google.com/appsheet/answer/10104495,"+""Cloud Based Environment"", ""Mobile App"""
,,Database installation,"https://support.google.com/appsheet/answer/10104707
https://support.google.com/appsheet/answer/10106597","+""Embedded Database (Spreadsheets)"", ""Relational database"", ""REST API"""
,,Client module installation,https://support.google.com/appsheet/answer/10104707,"+""Web Browser"", +""Mobile App"""
,,Deployment,"https://support.google.com/appsheet/topic/10104993
https://support.google.com/appsheet/answer/10104707
https://support.google.com/appsheet/answer/11510510","""On-premises Data Gateway (Web Services)"", +""Software as a Service"", +""App Gallery"""
,,Version control,https://support.google.com/appsheet/topic/10104992,"""Custom Versioning"""
,,,,
Aurea LCDP,Requirements documentation,,https://aurea-bpm.com/,
,,Workflow model,"https://www.tecna.pl/oferta/platforma-aurea
https://www.tecna.pl/oferta/aurea-modeler","+""BPMN Process Model"""
,,Database model,https://www.tecna.pl/oferta/platforma-aurea,"""Enumeration"", ""Data Types"", ""Constraints"", ""XML"""
,,UI model,,"+""App templates (CUBBE)"", +""View Types"", ""Conditional statements"", ""Expressions"", ""Functions"""
,,Validations,,"""Boolean expressions"", ""Conditional statements"", +""Lookup/Drop-down data patterns"""
,,Application logic,,"+""Actions"", ""Functions"", ""Expressions"", ""Events"", +""Predefined process steps"", +""Predefined tasks"", ""Formulas"", ""Variables"", ""Boolean expressions"", ""Conditional expressions"""
,Design and development,,,
,,Workflow desing and development,,"+""BPMN Process Model"""
,,Database design,,"""Relational Database concept"", +""Reference Column"", +""Lookup Column"", ""Keys"", ""Types"", ""Expressions (App Formula Expression, Initial Value Expression)"", ""Functions (Deep Link)"", +""References"", +""Slices (Subset od data, columns and actions)"", +""Business data types"", ""Conditional Expressions"""
,,Fetching data,,"""Web API"", +""Cloud-based Spreadsheets"", ""SQL Databases"". ""JDBC"", ""Data source integration"""
,,GUI design and development,,"+""View Types"", +""UI Branding"", +""Conditional Formatting"", +""Business Data types"""
,,Data validation development,,"""Boolean expressions"", ""Conditional statements"", +""Column Expressions"""
,,Actions design and development,,"+""Automations"", ""Expressions"", ""Functions"", ""Conditional statements"""
,,Programming,,"""JavaScript"", ""Web API (AppSheet API)"", ""HTML"", ""JSON"", ""XML"", ""Functions"", ""Boolean statements"", ""Conditional Statements"", ""Expressions"""
,Implementation,,,
,,Runtime server installation,,"+""Cloud Based Environment"", ""Mobile App"""
,,Database installation,,"+""Embedded Database (Spreadsheets)"", ""Relational database"", ""REST API"""
,,Client module installation,,"+""Web Browser"", +""Mobile App"""
,,Deployment,,"""On-premises Data Gateway (Web Services)"", +""Software as a Service"", +""App Gallery"""
,,Version control,,"""Custom Versioning"""
